venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,"PP Shaw,S Dhawan,SS Iyer","M Prasidh Krishna,LH Ferguson,PP Chawla,AD Russell",45
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"JM Bairstow,DA Warner","MM Ali,UT Yadav,YS Chahal,Mohammed Siraj",59
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel,SO Hetmyer,V Kohli,AB de Villiers,MM Ali","B Kumar,Mohammad Nabi,Sandeep Sharma",30
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,"AT Rayudu,SR Watson,SK Raina,KM Jadhav,MS Dhoni","DS Kulkarni,JC Archer,BA Stokes",29
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,"AM Rahane,SV Samson,JC Buttler,RA Tripathi,SPD Smith","DL Chahar,SN Thakur,MJ Santner",45
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Delhi Capitals,"KL Rahul,MA Agarwal,SM Curran,SN Khan","K Rabada,CH Morris,Avesh Khan,S Lamichhane",54
Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Kings XI Punjab,"PP Shaw,SS Iyer,S Dhawan","R Ashwin,SM Curran,Mohammed Shami,GC Viljoen",49
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli,PA Patel","K Gowtham,DS Kulkarni,JC Archer",48
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane,JC Buttler","UT Yadav,NA Saini,Mohammed Siraj",55
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"Q de Kock,RG Sharma,SA Yadav","DL Chahar,SN Thakur,MM Sharma",40
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"SR Watson,AT Rayudu,SK Raina,KM Jadhav,MS Dhoni","JP Behrendorff,SL Malinga,HH Pandya",34
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw,S Dhawan,SS Iyer","B Kumar,Mohammad Nabi,S Kaul",36
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"DA Warner,JM Bairstow","S Lamichhane,AR Patel,CH Morris,K Rabada",62
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"PA Patel,V Kohli","M Prasidh Krishna,PP Chawla,SP Narine,LH Ferguson",53
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn,SP Narine,RV Uthappa","TG Southee,NA Saini,YS Chahal",59
MA Chidambaram Stadium,1,Chennai Super Kings,Kings XI Punjab,"SR Watson,F du Plessis","Mohammed Shami,R Ashwin,SM Curran,AJ Tye",54
MA Chidambaram Stadium,2,Kings XI Punjab,Chennai Super Kings,"KL Rahul,CH Gayle,MA Agarwal,SN Khan","DL Chahar,Harbhajan Singh,SC Kuggeleijn",46
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma,Q de Kock,SA Yadav,Ishan Kishan","B Kumar,Sandeep Sharma,Mohammad Nabi",30
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"DA Warner,JM Bairstow,V Shankar,MK Pandey","JP Behrendorff,JJ Bumrah,RD Chahar,AS Joseph",39
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"PA Patel,V Kohli,AB de Villiers","I Sharma,CH Morris,K Rabada",40
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw,S Dhawan,SS Iyer","TG Southee,NA Saini,YS Chahal",53
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane,SPD Smith,JC Buttler","PP Chawla,M Prasidh Krishna,SP Narine",28
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"CA Lynn,SP Narine","DS Kulkarni,K Gowtham,JC Archer",65
Punjab Cricket Association IS Bindra Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner,JM Bairstow,V Shankar","AS Rajpoot,Mujeeb Ur Rahman,Mohammed Shami",27
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"KL Rahul,CH Gayle,MA Agarwal","B Kumar,Sandeep Sharma,Rashid Khan,Mohammad Nabi",38
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,Shubman Gill","DL Chahar,Harbhajan Singh,RA Jadeja",29
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson,F du Plessis,SK Raina,AT Rayudu","PP Chawla,M Prasidh Krishna,SP Narine",40
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"KL Rahul,CH Gayle","JP Behrendorff,JJ Bumrah,AS Joseph",50
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"Q de Kock,SD Lad,SA Yadav","AS Rajpoot,Mohammed Shami,GC Viljoen",50
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"AM Rahane,JC Buttler,SV Samson,SPD Smith,RA Tripathi","DL Chahar,MJ Santner,SN Thakur",54
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"SR Watson,SK Raina,F du Plessis,AT Rayudu,KM Jadhav","DS Kulkarni,JD Unadkat,JC Archer",24
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"JL Denly,RV Uthappa,Shubman Gill","I Sharma,CH Morris,K Rabada,AR Patel",41
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"PP Shaw,S Dhawan,SS Iyer,RR Pant","M Prasidh Krishna,LH Ferguson,AD Russell",57
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"RG Sharma,Q de Kock","K Gowtham,DS Kulkarni,JC Archer,JD Unadkat",57
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"AM Rahane,JC Buttler","JP Behrendorff,AS Joseph,RD Chahar,JJ Bumrah",59
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"KL Rahul,CH Gayle","UT Yadav,NA Saini,Mohammed Siraj",60
Punjab Cricket Association IS Bindra Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"PA Patel,V Kohli,AB de Villiers","SM Curran,Mohammed Shami,R Ashwin,M Ashwin",63
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn,SP Narine,N Rana","DL Chahar,SN Thakur,MJ Santner,RA Jadeja",49
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson,F du Plessis,SK Raina,AT Rayudu","M Prasidh Krishna,HF Gurney,AD Russell,SP Narine",44
Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw,S Dhawan,C Munro,SS Iyer","B Kumar,KK Ahmed,Sandeep Sharma",51
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"DA Warner,JM Bairstow","I Sharma,K Rabada,CH Morris",40
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"PA Patel,V Kohli,AB de Villiers","JP Behrendorff,SL Malinga,JJ Bumrah",45
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"Q de Kock,RG Sharma","UT Yadav,NA Saini,Mohammed Siraj,YS Chahal",67
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Rajasthan Royals,"KL Rahul,CH Gayle,MA Agarwal","DS Kulkarni,JD Unadkat,JC Archer",39
Punjab Cricket Association IS Bindra Stadium,2,Rajasthan Royals,Kings XI Punjab,"RA Tripathi,JC Buttler,SV Samson","Arshdeep Singh,Mujeeb Ur Rahman",54
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson,F du Plessis","B Kumar,KK Ahmed,Sandeep Sharma",41
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner,JM Bairstow,KS Williamson","DL Chahar,SN Thakur,Imran Tahir",68
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"RG Sharma,E Lewis,Ishan Kishan,SA Yadav","DL Chahar,SR Watson",39
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"SR Watson,AT Rayudu,SK Raina","MJ McClenaghan,Mustafizur Rahman,JJ Bumrah,HH Pandya",42
Punjab Cricket Association IS Bindra Stadium,1,Delhi Daredevils,Kings XI Punjab,"C Munro,G Gambhir,SS Iyer","R Ashwin,MM Sharma,Mujeeb Ur Rahman,AR Patel,AJ Tye",45
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Delhi Daredevils,"KL Rahul,MA Agarwal,Yuvraj Singh,KK Nair","TA Boult,Mohammed Shami,A Mishra,CH Morris",73
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"BB McCullum,Q de Kock,V Kohli","R Vinay Kumar,PP Chawla,Kuldeep Yadav",52
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"SP Narine,CA Lynn,RV Uthappa,N Rana","YS Chahal,CR Woakes,Washington Sundar,UT Yadav",68
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane,DJM Short,SV Samson","B Kumar,B Stanlake,Shakib Al Hasan",48
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,"WP Saha,S Dhawan,KS Williamson","DS Kulkarni,JD Unadkat,K Gowtham,B Laughlin",57
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn,SP Narine,RV Uthappa,N Rana","DL Chahar,Harbhajan Singh,SR Watson,RA Jadeja,Imran Tahir",64
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"SR Watson,AT Rayudu","R Vinay Kumar,PP Chawla,AD Russell,TK Curran",75
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,"AM Rahane,DJM Short,BA Stokes,SV Samson","TA Boult,S Nadeem,CH Morris",51
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,"GJ Maxwell,RR Pant,CH Morris,V Shankar","K Gowtham,DS Kulkarni,JD Unadkat,B Laughlin",60
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma,E Lewis,Ishan Kishan","Sandeep Sharma,B Stanlake,Rashid Khan,S Kaul",54
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"WP Saha,S Dhawan","PJ Sangwan,JJ Bumrah,BCJ Cutting,KH Pandya",56
M.Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"KL Rahul,MA Agarwal,AJ Finch,Yuvraj Singh,KK Nair","CR Woakes,UT Yadav,K Khejroliya",50
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"Q de Kock,BB McCullum,V Kohli,AB de Villiers","AR Patel,R Ashwin,Mujeeb Ur Rahman,AJ Tye",41
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"SA Yadav,E Lewis","TA Boult,S Nadeem,Mohammed Shami,DT Christian",84
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"JJ Roy,G Gambhir,RR Pant","HH Pandya,A Dananjaya,JJ Bumrah,Mustafizur Rahman",53
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa,CA Lynn,N Rana","B Kumar,B Stanlake,S Kaul,Rashid Khan",49
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"WP Saha,S Dhawan,KS Williamson,MK Pandey","MG Johnson,AD Russell,SP Narine,PP Chawla",46
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane,DJM Short","Washington Sundar,CR Woakes,UT Yadav,YS Chahal",52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"BB McCullum,V Kohli,Q de Kock","K Gowtham,DS Kulkarni,JD Unadkat,BA Stokes",64
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Chennai Super Kings,"KL Rahul,CH Gayle","DL Chahar,Harbhajan Singh,SN Thakur",75
Punjab Cricket Association IS Bindra Stadium,2,Chennai Super Kings,Kings XI Punjab,"SR Watson,M Vijay,AT Rayudu,SW Billings","BB Sran,MM Sharma,AJ Tye,Mujeeb Ur Rahman",53
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"CA Lynn,SP Narine,RV Uthappa","TA Boult,CH Morris,S Nadeem",50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir,JJ Roy,SS Iyer,RR Pant,GJ Maxwell","PP Chawla,AD Russell,Shivam Mavi,SP Narine",56
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"SA Yadav,Ishan Kishan,RG Sharma,E Lewis","UT Yadav,CR Woakes,Washington Sundar,Mohammed Siraj",60
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"V Kohli,Q de Kock,AB de Villiers,Mandeep Singh","JJ Bumrah,KH Pandya,MJ McClenaghan,Mustafizur Rahman",55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane,DJM Short","PP Chawla,Kuldeep Yadav,SP Narine,Shivam Mavi",48
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"SP Narine,CA Lynn,RV Uthappa","K Gowtham,DS Kulkarni,JD Unadkat,B Laughlin",53
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,"KL Rahul,CH Gayle","B Kumar,CJ Jordan,Rashid Khan,S Kaul",49
Punjab Cricket Association IS Bindra Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,"WP Saha,S Dhawan,KS Williamson,YK Pathan,MK Pandey","BB Sran,MM Sharma,AJ Tye",40
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,"SR Watson,AT Rayudu,SK Raina","STR Binny,K Gowtham,JD Unadkat,BA Stokes,B Laughlin",69
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,"AM Rahane,H Klaasen,SV Samson,BA Stokes,JC Buttler","DL Chahar,SN Thakur,SR Watson",35
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"CA Lynn,SP Narine,RV Uthappa","AS Rajpoot,Mujeeb Ur Rahman,BB Sran,AJ Tye",50
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"KL Rahul,CH Gayle","Shivam Mavi,AD Russell,N Rana,SP Narine,PP Chawla",73
M.Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"JJ Roy,G Gambhir,SS Iyer,RR Pant","UT Yadav,CR Woakes,YS Chahal",28
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"Q de Kock,M Vohra,V Kohli,AB de Villiers","TA Boult,GJ Maxwell,S Nadeem,CH Morris",43
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson,F du Plessis,SK Raina","B Kumar,B Stanlake,Shakib Al Hasan,S Kaul",27
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"RK Bhui,MK Pandey,KS Williamson,DJ Hooda,Shakib Al Hasan","DL Chahar,SN Thakur,SR Watson",40
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"SA Yadav,E Lewis,Ishan Kishan","DS Kulkarni,K Gowtham,JC Archer,JD Unadkat",43
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"AM Rahane,RA Tripathi,SV Samson,BA Stokes","MJ McClenaghan,JJ Bumrah,KH Pandya,Mustafizur Rahman",43
Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Daredevils,"KL Rahul,AJ Finch,MA Agarwal,KK Nair","TA Boult,Avesh Khan,LE Plunkett",51
Arun Jaitley Stadium,2,Delhi Daredevils,Kings XI Punjab,"PP Shaw,G Gambhir,GJ Maxwell,RR Pant","AS Rajpoot,BB Sran,AJ Tye",48
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan,KS Williamson,WP Saha,MK Pandey,Shakib Al Hasan,YK Pathan","JJ Bumrah,MJ McClenaghan,HH Pandya",51
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya","Sandeep Sharma,Mohammad Nabi,Shakib Al Hasan",22
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"Q de Kock,V Kohli,AB de Villiers","DL Chahar,SN Thakur,Harbhajan Singh",52
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson,AT Rayudu,SK Raina,SW Billings","P Negi,UT Yadav,Washington Sundar,Mohammed Siraj",55
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"S Dhawan,KS Williamson,WP Saha,MK Pandey,Shakib Al Hasan","AS Rajpoot,BB Sran",37
Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"KL Rahul,CH Gayle","Sandeep Sharma,Mohammad Nabi,S Kaul",44
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,"PP Shaw,C Munro","PP Chawla,Kuldeep Yadav,Shivam Mavi,SP Narine,MG Johnson",57
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,"CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,Shubman Gill","TA Boult,GJ Maxwell,Avesh Khan,LE Plunkett",51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,"SR Watson,AT Rayudu,SK Raina","MJ McClenaghan,JJ Bumrah,HH Pandya,KH Pandya",51
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,"SA Yadav,E Lewis","DL Chahar,SN Thakur,SR Watson,Harbhajan Singh",50
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"AD Hales,S Dhawan,KS Williamson","K Gowtham,DS Kulkarni,JC Archer,JD Unadkat",39
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane,RA Tripathi,SV Samson","Sandeep Sharma,Shakib Al Hasan,Basil Thampi,S Kaul",43
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"Q de Kock,BB McCullum","PP Chawla,SP Narine,MG Johnson,Shivam Mavi",40
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"CA Lynn,SP Narine","TG Southee,UT Yadav,YS Chahal",51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Daredevils,"SR Watson,F du Plessis","TA Boult,Avesh Khan,R Tewatia,LE Plunkett",56
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Chennai Super Kings,"PP Shaw,C Munro,SS Iyer,RR Pant","L Ngidi,KM Asif,SR Watson",59
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"M Vohra,Q de Kock","JP Duminy,MJ McClenaghan,JJ Bumrah,KH Pandya",43
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"SA Yadav,Ishan Kishan,JP Duminy,RG Sharma,KA Pollard","TG Southee,UT Yadav,Mohammed Siraj",40
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,"PP Shaw,C Munro,SS Iyer","DS Kulkarni,JC Archer,K Gowtham,JD Unadkat,S Gopal",62
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,"DJM Short,JC Buttler","S Nadeem,TA Boult,Avesh Khan,LE Plunkett,A Mishra",79
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"SR Watson,F du Plessis,SK Raina","MG Johnson,PP Chawla,Shivam Mavi,SP Narine",57
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn,SP Narine,RV Uthappa,Shubman Gill","L Ngidi,KM Asif,SR Watson",56
Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,"KL Rahul,CH Gayle","MJ McClenaghan,JJ Bumrah,HH Pandya",49
Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,"SA Yadav,E Lewis,Ishan Kishan","R Ashwin,AS Rajpoot,AJ Tye,Mujeeb Ur Rahman",39
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"PA Patel,BB McCullum,V Kohli","DJ Willey,L Ngidi,SN Thakur",47
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"SR Watson,AT Rayudu,SK Raina","TG Southee,YS Chahal,UT Yadav",42
Rajiv Gandhi International Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"PP Shaw,GJ Maxwell,SS Iyer","B Kumar,Sandeep Sharma,Shakib Al Hasan,S Kaul",60
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"AD Hales,S Dhawan","TA Boult,Avesh Khan,GJ Maxwell,LE Plunkett",61
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,"SA Yadav,E Lewis","N Rana,M Prasidh Krishna,MG Johnson,SP Narine,PP Chawla",56
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,"CA Lynn,Shubman Gill,RV Uthappa,N Rana","MJ McClenaghan,JJ Bumrah,HH Pandya",47
Holkar Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,"JC Buttler,DJM Short,AM Rahane,SV Samson","R Ashwin,AS Rajpoot,Mujeeb Ur Rahman,AR Patel",45
Holkar Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,"KL Rahul,CH Gayle,MA Agarwal,KK Nair","K Gowtham,JC Archer,BA Stokes,JD Unadkat",34
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"AD Hales,S Dhawan,KS Williamson","MM Ali,UT Yadav,TG Southee,Mohammed Siraj",38
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Vohra,PA Patel,V Kohli","Sandeep Sharma,B Kumar,Shakib Al Hasan,S Kaul",55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,"AM Rahane,JC Buttler,K Gowtham","MP Stoinis,AR Patel,MM Sharma,AJ Tye",63
Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,"KL Rahul,CH Gayle,R Ashwin,KK Nair,AD Nath","K Gowtham,JC Archer,JD Unadkat,BA Stokes",33
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"SA Yadav,E Lewis,RG Sharma","AD Russell,M Prasidh Krishna,TK Curran,SP Narine,PP Chawla",47
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"SP Narine,CA Lynn,RV Uthappa,N Rana","MJ McClenaghan,KH Pandya,JJ Bumrah,HH Pandya",47
Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"PP Shaw,JJ Roy,SS Iyer,RR Pant","B Kumar,Sandeep Sharma,Shakib Al Hasan,S Kaul",38
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"AD Hales,S Dhawan,KS Williamson","TA Boult,HV Patel,S Nadeem,LE Plunkett",51
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"SR Watson,AT Rayudu,SK Raina","K Gowtham,Ankit Sharma,JC Archer,BA Stokes,JD Unadkat",55
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"JC Buttler,BA Stokes,AM Rahane,SV Samson","DJ Willey,Harbhajan Singh,RA Jadeja,SN Thakur",57
Holkar Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,"CA Lynn,SP Narine,RV Uthappa","MM Sharma,Mujeeb Ur Rahman,R Ashwin,BB Sran,AJ Tye",59
Holkar Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,"KL Rahul,CH Gayle,MA Agarwal","SP Narine,M Prasidh Krishna,JPR Scantlebury-Searles,AD Russell",58
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"PP Shaw,JJ Roy,SS Iyer,RR Pant","YS Chahal,UT Yadav,TG Southee",44
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"PA Patel,MM Ali,V Kohli,AB de Villiers","S Lamichhane,TA Boult,CJ Dala,HV Patel",58
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan,AD Hales,KS Williamson","DL Chahar,SN Thakur,DJ Willey",29
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson,AT Rayudu","Sandeep Sharma,B Kumar,Rashid Khan,Shakib Al Hasan",53
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"SA Yadav,E Lewis","K Gowtham,DS Kulkarni,JC Archer,BA Stokes",51
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"DJM Short,AM Rahane,JC Buttler","JJ Bumrah,MJ McClenaghan,KH Pandya,HH Pandya",51
Holkar Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"KL Rahul,CH Gayle,KK Nair,MP Stoinis,AJ Finch","UT Yadav,TG Southee,Mohammed Siraj",47
Holkar Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"V Kohli,PA Patel","R Ashwin,AJ Tye,AS Rajpoot,MM Sharma",66
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"RA Tripathi,JC Buttler,AM Rahane","Shivam Mavi,M Prasidh Krishna,SP Narine,AD Russell",68
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"SP Narine,CA Lynn,RV Uthappa,N Rana","K Gowtham,BA Stokes,JC Archer",51
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"SA Yadav,E Lewis,Ishan Kishan,KH Pandya","AS Rajpoot,MM Sharma,AJ Tye",60
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"KL Rahul,CH Gayle,AJ Finch","MJ McClenaghan,JJ Bumrah,HH Pandya,KH Pandya",57
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel,V Kohli,AB de Villiers,MM Ali","Sandeep Sharma,Shakib Al Hasan,Rashid Khan,S Kaul",44
M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"S Dhawan,AD Hales,KS Williamson","UT Yadav,TG Southee,YS Chahal,Mohammed Siraj",56
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,"PP Shaw,SS Iyer,RR Pant","DL Chahar,L Ngidi,RA Jadeja,SN Thakur",39
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,"SR Watson,AT Rayudu","TA Boult,S Lamichhane,Avesh Khan,HV Patel",44
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"RA Tripathi,JC Archer,AM Rahane","YS Chahal,UT Yadav,MM Ali,TG Southee",45
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli,PA Patel,AB de Villiers","K Gowtham,JC Archer,B Laughlin,JD Unadkat",55
